barcode,product_name,unit,initial_quantity,purchase_price_iqd,selling_price_iqd,low_stock_alert
10,-,دانە,1000,2100,2500,5
8697422630339,معجون زيَر قودى 830غرام,دانە,1000,1600,2000,5
8698686920297,زةيتون رةش لوراس قودى 1200غرام,دانە,1000,4850,5250,5
8697449910964,معجون ئالتون سا 830طرام,دانە,1000,1850,2250,5
8698804402018,معجون هةسبي رةش 830غرام,دانە,1000,1250,1650,5
6260308320093,معجون سحر 830غرام,دانە,1000,1000,1400,5
8681277194351,معجون هةسبي رةش420غرام,دانە,1000,500,900,5
6260347800037,معجون اسباق 420,دانە,1000,300,700,5
8697422630322,معجون زير 420غرام,دانە,1000,850,1250,5
8698686921102,زةيتون لوراس شوشة,دانە,1000,1600,2000,5
0133800083110021,كةشكي ئايش,دانە,1000,1600,2000,5
0133800083110026,كةشكي ئايشي,دانە,1000,1600,2000,5
8699913950520,زةيتون جرمسي 480 غرام,دانە,1000,2100,2500,5
8699913950568,زةيتون جرمسي 900غرام,دانە,1000,3100,3500,5
8697422630780,زةيتون زير محشي,دانە,1000,2000,2400,5
8428916870005,زةيتون ئةلكورسة,دانە,1000,800,1200,5
8698686920242,زةيتون لوراس زةري 420,دانە,1000,600,1000,5
8694299041220,زةيتون رةش تادال قودى 350طرام,دانە,1000,850,1250,5
8698686920235,زةيتون لوراس 420غرام رةش,دانە,1000,500,900,5
8698686923793,زةيتون لوراس رةش قودى 800غرام,دانە,1000,3850,4250,5
8718104790506,زةيتون رةش 870غرام,دانە,1000,1300,1700,5
6260273715474,خيارشور اسلات,دانە,1000,1100,1500,5
6260308330078,خيار شور سحر ويذة 640 ط,دانە,1000,2350,2750,5
6260268200190,سير رةش شوشة,دانە,1000,1350,1750,5
8694299040094,زةيتون رةش تادال قودى 800طرام,دانە,1000,2100,2500,5
6260308332508,فلفل سحر شوشة,دانە,1000,1250,1650,5
6942236203180,ترشي قارةمان,دانە,1000,1600,2000,5
8697422638175,زةيت طولة بةروذة زير خر 5 لتر,دانە,1000,12100,12500,5
6260175100545,ترشي شوشة,دانە,1000,1000,1400,5
8710559323421,بالكة بينك هولةندى 340طرام,دانە,1000,1600,2000,5
6260268200022,خيار شور تراوت,دانە,1000,1100,1500,5
6281011134401,زةيت عافية سعودى 1.8 لتر,دانە,1000,5850,6250,5
6262583300029,شةكر نوقل بال قيز قالك 300طرام,دانە,1000,850,1250,5
8697159165173,زةيت 1لتر هةسثي رةش,دانە,1000,850,1250,5
8697422637765,زةيت طولة بةروذة زير 700 مل,دانە,1000,1350,1750,5
6281011411052,شةكر الئسرة 1 كط,دانە,1000,1350,1750,5
8697422630117,زةيت زيَر طولة بةروذة 1 لتر,دانە,1000,1850,2250,5
8697422630728,خوىَ زير كيسة 750 ط,دانە,1000,100,500,5
8680371420045,شةكري تاج,دانە,1000,400,800,5
8697449907865,شير ئالتون سا قودى 2.500كيلو,دانە,1000,17600,18000,5
8934673120197,شير ديالاك 900غرام رةقةم 2,دانە,1000,11100,11500,5
8934673119191,شير ديالاك 900 غرام رةقةم 1,دانە,1000,11600,12000,5
7616100759330,نيدوسور1800 غرام,دانە,1000,22600,23000,5
7616100018260,شير نيدو سةر سثى قودى 400طرام,دانە,1000,5850,6250,5
7616100593255,نيدوى 900 غرامى سور,دانە,1000,11600,12000,5
6253350500247,شيرى كانى 2500 غرامى,دانە,1000,10600,11000,5
7616100377145,شيرنيدو400 ط سور,دانە,1000,5600,6000,5
8934673122160,شير ديالاك قودى 400طرام رةقةم 3,دانە,1000,4600,5000,5
8934673622318,شير ديالاك 400غرام سور رةقةم 2,دانە,1000,5350,5750,5
6260393120370,شير بيبيلاك 400طرام رقم 2,دانە,1000,7100,7500,5
6260393120363,شير بيبيلاك 400طرام رقم 1,دانە,1000,7100,7500,5
4800361359214,شير كيكوز فليبيني 1,دانە,1000,4600,5000,5
7616100011568,شير نيدو سثى قودى 2500 ط,دانە,1000,25600,26000,5
7613031448449,شير كيكوزفرنسي,دانە,1000,8100,8500,5
8934673621311,شير ديالاك 400غرام كةسك رةقةم 1,دانە,1000,5350,5750,5
4800361359238,شير كيكوزفيليبيني 2,دانە,1000,4600,5000,5
7613031448418,شير كيكيوزفرنسي 400 ط رقم 2,دانە,1000,8600,9000,5
8690536922215,تايت بينطو غةسالةى ئوتوماتيك كارتون 5كط,دانە,1000,11600,12000,5
8690511129875,تايت تيك 5كيلو,دانە,1000,7600,8000,5
8697512032661,تايت ريناكس 5 كيلو,دانە,1000,7350,7750,5
8697713826373,تايت بيروس 6كيلو,دانە,1000,8600,9000,5
8690506272319,تايت فاكس 4 كيلو,دانە,1000,9100,9500,5
8690536923052,تايت بينكو 5 كيلو جلي سبي,دانە,1000,9100,9500,5
8690536922222,تايت بينطو 5 كيلو,دانە,1000,9100,9500,5
8697512030353,تايت ريناكس 5 كيلو,دانە,1000,7350,7750,5
6254000260108,شير المراعي كيسة 175 ط,دانە,1000,600,1000,5
1060011201338,كيك تركي,دانە,1000,0,400,5
8934673031318,سريلاك ريديالاك ثاكةت 200 ط,دانە,1000,1600,2000,5
6254000269378,شير المفيد,دانە,1000,850,1250,5
8934673100267,شير ديالاكي كيس 300طرام,دانە,1000,2100,2500,5
8715845002790,شير نيترو هولةندى 400طرام رقم 2,دانە,1000,7350,7750,5
8715845002783,شير نيترو هولةندى 400طرام رقم 1,دانە,1000,7350,7750,5
8715845002806,شير نيترو هولةندى 400طرام رقم 3,دانە,1000,7350,7750,5
610644912616,شير ليبتو جرو رقم 3 400 ط,دانە,1000,10350,10750,5
610644912210,شيرليبتوميل رقم 2 400 ط,دانە,1000,10100,10500,5
610644912111,شير ليبتوميل400 ط رقم 1,دانە,1000,10350,10750,5
7640123411272,شير روعة المدهش,دانە,1000,850,1250,5
8697449908473,شير ئالتونسان كيس,دانە,1000,1100,1500,5
8934673202169,سريلاك ريديالاك 6مانط 400 ط,دانە,1000,3600,4000,5
8934673203166,سريلاك ريديلاك 400غرام 4مانطى,دانە,1000,3600,4000,5
8934673625371,سريلاك ريديالاك 400ط 8 مانط,دانە,1000,3850,4250,5
8934673625357,سريلاك ريديالاك قودى زةر 400 ط 6 مانط,دانە,1000,3850,4250,5
8934673201162,سريلاك ريديالاك 6 مانطي 400طرام,دانە,1000,3600,4000,5
8934673215169,سريلاك ريديالاك 1-3 سال 400 ط,دانە,1000,3850,4250,5
8410100181509,سريلاك نةستةلة كوك تيل,دانە,1000,4100,4500,5
7616100756865,سريلاك نةستةلة هنطفين,دانە,1000,4100,4500,5
3518070032366,شير نوفالاك جينيو 400ط,دانە,1000,10350,10750,5
3518070012368,شير نوفالاك 400 ط رقم 1,دانە,1000,11350,11750,5
3518070022367,شير نوفالاك 400 ط رقم 2,دانە,1000,11350,11750,5
8886451085160,شير بيدياشور فانيلا 400 ط,دانە,1000,11600,12000,5
4796002513674,ضاى دوغةزال كةسك 1كيلو,دانە,1000,9350,9750,5
5014176007706,ضاى دوغةزال كةسك 450 غرام,دانە,1000,4600,5000,5
4791002003491,ضاى الوةزة كيس 400غرام,دانە,1000,3600,4000,5
4796002516217,جاى دوغه زال كسك كيسه,دانە,1000,850,1250,5
5014176000134,ضاى دوغةزال رةش 450طرام,دانە,1000,5850,6250,5
4796000551142,توفضاى محمود معةتةر 450طرام,دانە,1000,5100,5500,5
4791003258012,جاى هانا كيسة رةش 400 ط,دانە,1000,3100,3500,5
8996001414019,كاثوجينو تورابيكا ئيتالى 20 عدد,دانە,1000,4100,4500,5
